dataset	cluster_id	reviewer	raw_label	normalised_label	provided_cl_id	reviewer_confidence	markers	tissue	species	condition	candidate_ids	candidate_labels	candidate_scores	component_cl_ids	component_labels	component_agreement	final_status	decision	cl_id	canonical_label	mapping_method	specificity_relation	conf_cat	reason	proposed_cl_id	proposed_canonical_label	single_cl_ready	adjudication_ready	evaluation_ready	editor_input_type	mapper_a_status	mapper_a_rank	mapper_a_cl_id	mapper_a_specificity	mapper_a_confidence	mapper_b_status	mapper_b_rank	mapper_b_cl_id	mapper_b_specificity	mapper_b_confidence	ab_clid_agreement	ab_specificity_agreement	verifier_called	verifier_verdict	verifier_reason	verifier_action	hash_a	hash_b	hash_v	source_file	source_run_id	model	prompt_version	pipeline_version	ontology_version	ontology_checksum	temperature	max_tokens	top_k	marker_limit
Census_immune	cluster_4	cassia	Dendritic cell (DC)	dendriticcelldc	NA	94	ENHO|FCER1A|CLEC10A|NDRG2|HLA-DQA1|CD1C|UPK3A|NAPSB|CPVL|CST3|GAS6|HLA-DRB5|GPAT3|HLA-DRB4|HLA-DRB1|IL13RA1|IGSF6|GSN|AREG|ANXA2	blood	human	healthy_immune	CL:0000451|CL:0001056|CL:0009034|CL:0000990|CL:0000916	dendritic cell|dendritic cell, human|dendritic cell of appendix|conventional dendritic cell|dendritic epidermal T cell	0.973|0.918|0.908|0.885|0.88	NA	NA	NA	mapped_evidence	accept_after_verifier	CL:0000451	dendritic cell	evidence_llm	exact	high	A/B consistent; spec=exact	CL:0000451	dendritic cell	TRUE	TRUE	TRUE	single_cl_id	mapped	1	CL:0000451	exact	high	mapped	5	CL:0000451	exact	high	TRUE	TRUE	TRUE	accept	NA	accept	dd45ca06dea2e17301ca404f29ae11c55a89eebeb42882e5fb3275fa434a040e	d815b8b606079a7f85a2ab7a07542384292c291b4c17ecad8cadbcaac9b29995	d21af7f1c6b046e6a18c93c37d839ef4365eb9c91829bf93223f7aa4b997ffba	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_5	cassia	γδ T cell	gammadeltatcell	NA	95	NA	blood	human	healthy_immune	CL:0000798	gamma-delta T cell	NA	NA	NA	NA	mapped	deterministic	CL:0000798	gamma-delta T cell	normalized	exact	NA	deterministic	CL:0000798	gamma-delta T cell	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_6	cassia	Erythroid lineage cell	erythroidlineagecell	NA	88	NA	blood	human	healthy_immune	CL:0000764	erythroid lineage cell	NA	NA	NA	NA	mapped	deterministic	CL:0000764	erythroid lineage cell	normalized	exact	NA	deterministic	CL:0000764	erythroid lineage cell	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_7	cassia	Platelets (megakaryocyte/platelet lineage; circulating blood platelets)	plateletsmegakaryocyteplateletlineagecirculatingbloodplatelets	NA	95	TMEM40|PPBP|PF4|CLEC1B|GP9|TREML1|TUBB1|CMTM5|PF4V1|ACRBP|MYL9|SEPT5-GP1BB|CAVIN2|ITGB3|GNG11|GP1BB|ITGA2B|CTTN|SPARC|RGS18	blood	human	healthy_immune	CL:0000233|CL:2000062|CL:0002359|CL:0002577|CL:2000061	platelet|placental villus capillary endothelial cell|placental hematopoietic stem cell|placental epithelial cell|placental amniotic mesenchymal stromal cell	0.826|0.797|0.759|0.754|0.747	NA	NA	NA	mapped_evidence	accept_after_verifier	CL:0000233	platelet	evidence_llm	exact	high	A/B consistent; spec=exact	CL:0000233	platelet	TRUE	TRUE	TRUE	single_cl_id	mapped	1	CL:0000233	exact	high	mapped	5	CL:0000233	exact	high	TRUE	TRUE	TRUE	accept	NA	accept	b2eb476ff13d7326c7c43e717701ffcf6facbe1467d648ddc1524ce8d17d7e11	6fe7e8e437dbd09e7a05451a3dd4f5ca121937ce4f9fe703996a7961170db28b	d86bc3919c7ee941adae9dfa51627de33e5c86a6126f7bf9a9330504283abfa3	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_8	cassia	Mesenchymal stromal cell (MSC) / fibroblast-like non-hematopoietic cell	mesenchymalstromalcellmscfibroblastlikenonhematopoieticcell	NA	95	VGLL3|MDFI|CP|AMOTL2|TIMP4|PPIC|CCN1|GHR|SRPX|FMO3|LIFR|APOD|C1QTNF1|ECM2|CHRDL1	blood	human	healthy_immune	CL:4040004|CL:2000080|CL:0002540|CL:0000134|CL:2000079	mesenchymal stem cell of orbital adipose tissue|mesenchymal stem cell of abdominal adipose tissue|mesenchymal stem cell of the bone marrow|mesenchymal stem cell|mesenchymal stem cell of femoral bone marrow	0.862|0.86|0.854|0.849|0.849	NA	NA	NA	review	status_mismatch_mapped_ambiguous	NA	NA	evidence_llm_abstain	broadened	NA	status_mismatch_mapped_ambiguous	CL:0000134	mesenchymal stem cell	FALSE	TRUE	FALSE	candidate_set	mapped	4	CL:0000134	broadened	medium	ambiguous	NA	NA	exact	low	FALSE	FALSE	FALSE	NA	NA	NA	3b11b4da539be05d27e9dc5f5c78bea1aaa74d47380897c3dc07ad97f65b6d8c	90297fe82586da3e538a85df25ca4a396bd133530cdba4ff282767ccf1e557b4	NA	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_9	cassia	B cell / B lymphocyte	bcellblymphocyte	NA	92	FCER2|MS4A1|BANK1|TNFRSF13C|IGHM|CD22|CD79A|RALGPS2|P2RX5|MARCHF1|PLPP5|HVCN1|NIBAN3|RUBCNL|CD74|MEF2C|HLA-DMB|CD83|TCL1A|IRF8	blood	human	healthy_immune	CL:0000819|CL:0000822|CL:4030029|CL:0000844|CL:0000236	B-1 B cell|B-2 B cell|blood lymphocyte|germinal center B cell|B cell	0.877|0.877|0.865|0.863|0.862	NA	NA	NA	review	specificity_mismatch	NA	NA	evidence_llm_abstain	broadened	NA	A spec=broadened; B spec=exact	CL:0000236	B cell	FALSE	TRUE	FALSE	candidate_set	mapped	5	CL:0000236	broadened	high	mapped	1	CL:0000236	exact	high	TRUE	FALSE	FALSE	NA	NA	NA	dff7db5bf97d8674de6959b1a38e1a7f722986e3e7874253e50f2b4ae0c8b03a	4539ad863311a725cf208dfa124e93c6c9709b95291bab5ae2d05a10aab4302d	NA	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_1	in_house	monocyte	monocyte	CL:0000576	0	NA	blood	human	healthy_immune	CL:0000576	monocyte	NA	NA	NA	NA	mapped	deterministic	CL:0000576	monocyte	provided_valid_clid	exact	NA	deterministic	CL:0000576	monocyte	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	07_our_summary/summary.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_10	in_house	T cell	tcell	CL:0000084	0	NA	blood	human	healthy_immune	CL:0000084	T cell	NA	NA	NA	NA	mapped	deterministic	CL:0000084	T cell	provided_valid_clid	exact	NA	deterministic	CL:0000084	T cell	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	07_our_summary/summary.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_11	in_house	T cell	tcell	CL:0000084	0	NA	blood	human	healthy_immune	CL:0000084	T cell	NA	NA	NA	NA	mapped	deterministic	CL:0000084	T cell	provided_valid_clid	exact	NA	deterministic	CL:0000084	T cell	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	07_our_summary/summary.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_12	in_house	natural killer cell	naturalkillercell	CL:0000623	8	NA	blood	human	healthy_immune	CL:0000623	natural killer cell	NA	NA	NA	NA	mapped	deterministic	CL:0000623	natural killer cell	provided_valid_clid	exact	NA	deterministic	CL:0000623	natural killer cell	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	07_our_summary/summary.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_13	in_house	lymphocyte of B lineage	lymphocyteofblineage	CL:0000945	8	NA	blood	human	healthy_immune	CL:0000945	lymphocyte of B lineage	NA	NA	NA	NA	mapped	deterministic	CL:0000945	lymphocyte of B lineage	provided_valid_clid	exact	NA	deterministic	CL:0000945	lymphocyte of B lineage	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	07_our_summary/summary.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_14	in_house	dendritic cell	dendriticcell	CL:0000451	0	NA	blood	human	healthy_immune	CL:0000451	dendritic cell	NA	NA	NA	NA	mapped	deterministic	CL:0000451	dendritic cell	provided_valid_clid	exact	NA	deterministic	CL:0000451	dendritic cell	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	07_our_summary/summary.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_15	in_house	B cell	bcell	CL:0000236	0	NA	blood	human	healthy_immune	CL:0000236	B cell	NA	NA	NA	NA	mapped	deterministic	CL:0000236	B cell	provided_valid_clid	exact	NA	deterministic	CL:0000236	B cell	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	07_our_summary/summary.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_16	in_house	B cell	bcell	CL:0000236	0	NA	blood	human	healthy_immune	CL:0000236	B cell	NA	NA	NA	NA	mapped	deterministic	CL:0000236	B cell	provided_valid_clid	exact	NA	deterministic	CL:0000236	B cell	TRUE	TRUE	TRUE	single_cl_id	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	07_our_summary/summary.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
